,date,portfolio_value,daily_pnl,num_positions
300,2023-03-15,-13.063275955662206,-1.7277721516456606,1
301,2023-03-16,-12.850902616499503,0.21237333916270293,1
302,2023-03-17,-12.557534961174754,0.2933676553247483,1
303,2023-03-20,-12.309977580387859,0.24755738078689665,1
304,2023-03-21,-13.638841148591633,-1.3288635682037742,1
305,2023-03-22,-13.757477307987461,-0.11863615939582788,1
306,2023-03-23,-13.9179057278489,-0.16042841986143952,1
307,2023-03-24,-14.128841827573327,-0.21093609972442595,1
308,2023-03-27,-14.174995805688216,-0.04615397811488901,1
309,2023-03-28,-14.192763906280303,-0.017768100592088023,1
310,2023-03-29,-14.23050106024737,-0.037737153967065874,1
311,2023-03-30,-14.214825527299263,0.01567553294810706,1
312,2023-03-31,-14.172170251913471,0.0426552753857928,1
313,2023-04-03,-13.851869873340851,0.32030037857262034,1
314,2023-04-04,-13.538282340629616,0.31358753271123574,1
315,2023-04-05,-13.229222793147276,0.30905954748233955,1
316,2023-04-06,-12.920686095439283,0.3085366977079931,1
317,2023-04-10,-12.665478823865653,0.25520727157363005,1
318,2023-04-11,-12.346516588101299,0.3189622357643554,1
319,2023-04-12,-11.95492347524749,0.39159311285380755,1
320,2023-04-13,-11.632058803524233,0.32286467172325756,1
321,2023-04-14,-11.308193302018159,0.32386550150607446,1
322,2023-04-17,-11.059922762822167,0.24827053919599226,1
323,2023-04-18,-10.816682881345564,0.2432398814766029,1
324,2023-04-19,-10.646585133325416,0.170097748020147,1
325,2023-04-20,-11.310851679985396,-0.6642665466599784,0
326,2023-04-21,-12.060851679985396,-0.75,1
327,2023-04-24,-13.732647807359207,-1.6717961273738107,1
328,2023-04-25,-13.639276930269414,0.09337087708979287,1
329,2023-04-26,-14.456109041842145,-0.8168321115727312,0
330,2023-04-27,-15.206109041842145,-0.75,1
331,2023-04-28,-15.238454272521171,-0.03234523067902587,1
332,2023-05-01,-16.757555399046616,-1.5191011265254442,1
333,2023-05-02,-16.99052318618454,-0.23296778713792407,1
334,2023-05-03,-18.91969631553929,-1.92917312935475,1
335,2023-05-04,-18.454010197061088,0.465686118478202,1
336,2023-05-05,-18.196055939558487,0.2579542575026014,1
337,2023-05-08,-19.559896544011778,-1.3638406044532911,1
338,2023-05-09,-19.674313766135523,-0.114417222123746,1
339,2023-05-10,-19.86637372959071,-0.1920599634551852,1
340,2023-05-11,-20.16821784804486,-0.3018441184541512,1
341,2023-05-12,-20.536700227821118,-0.3684823797762565,1
342,2023-05-15,-21.57922729487985,-1.0425270670587334,0
343,2023-05-16,-22.32922729487985,-0.75,1
344,2023-05-17,-22.500555627884374,-0.17132833300452305,1
345,2023-05-18,-22.767211997442487,-0.2666563695581137,1
346,2023-05-19,-23.06124284369966,-0.2940308462571711,1
347,2023-05-22,-23.32315642727523,-0.2619135835755717,1
348,2023-05-23,-23.512741973316135,-0.1895855460409053,1
349,2023-05-24,-23.568115105843823,-0.05537313252768862,1
350,2023-05-25,-23.811614497162747,-0.243499391318923,1
351,2023-05-26,-23.995221400540466,-0.18360690337771748,1
352,2023-05-30,-24.491045676631654,-0.4958242760911876,1
